Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-04-27,samya,@puteaDio,le chatgpt des autres il doit se sentir trop frais a pondre des exposés sur l’ingenieurie spatiale pendant que le mien je lui demande tous les jours si il a enfin eu les cramptés,10000,826
2023-04-17,virgile jambon,@VirgileJambon,c'est le premier discours présidentiel écrit avec ChatGPT,815,183
2023-04-23,AI EXPLORER,@AiExplorerFR,"ChatGPT était déjà révolutionnaire.

AutoGPT est sorti il y a 10 jours et il est encore mieux.

Voici tout ce qu'il peut déjà faire.

Thread",3000,528
2023-04-26,IAdvisor - (Matt),@IAdvisorFR,"Ça m'a pris 3 mois à apprendre.

Je te l'explique en 2 minutes.

6 conseils précieux pour maîtriser l'art des prompts sur ChatGPT.",848,145
2023-04-19,Le Sin,@SinAmor92i,Nan vraiment que Dieu bénisse le roi qu’a créé chat gpt,138,19
2023-04-26,guna,@MuchoSaucee,moi j’suis polie avec chat gpt on sait jamais les robots prennent un jour le contrôle j’espère il m’oubliera pas,212,25
1970-01-01,DaveH,@zichanghu,"AI answer customer query and 24/7 help ""where is my order"" for shopify stores.",125,5
2023-04-07,BUSINESS.LIBRE | AXEL,@business_libre_,"Canva est gratuit
Notion est gratuit
Google est gratuit
Twitter est gratuit
YouTube est gratuit
ChatGPT est gratuit
Gumroad est gratuit

Presque tous les outils sont gratuits.

Quelle excuse tu as encore ?",352,68
2023-04-01,Petit Fayot,@Petit_Fayot,"Le problème de ChatGPT, c'est qu'il ingurgite des masses de textes qu'il retransmet en accolant les idées sans les comprendre, et on a déjà Enthoven.",5000,886
2023-04-24,BUSINESS.LIBRE | AXEL,@business_libre_,"« Je n’ai pas d’argent pour lancer un business… »

Systeme io -> Gratuit 
Gumroad -> Gratuit
Chatgpt -> Gratuit
Twitter -> Gratuit
Canva -> Gratuit
Henrri -> Gratuit

2023 -> 0 excuse.",532,111
2023-04-05,Steve,@Seulement,Chatgpt fais aussi les PowerPoint jusqu’à tu précises le nombre de diapo ,101,24
1970-01-01,OpenIndexAI,@NA,"Chat with any closed- or open- source AI model (OpenAI, Google Bard, LLama, Mistral and more) using your own knowledge base.",191,31
2023-04-26,Matthieu | Outils IA,@outil_ia,"Avec ChatGPT, on peut tout apprendre gratuitement.

Mais 99 % des gens ne savent pas quel prompt utiliser.

Voici 12 Prompts pour apprendre 5x plus vite.",4300,856
2023-04-17,Kim Jong Un ᵖᵃʳᵒᵈⁱᵉ,@KimJongUnique,"Il n'y avait rien à attendre de cette #allocutionprésidentielle, d'après les réactions que je lis. À ce moment-là, j'ai préféré discuter avec ma fille de 4 ans sur sa journée à l'école. Elle disait des choses plus intéressantes que la version élyséenne de Chat GPT.",193,49
2023-04-10,ns,@tweetfr,"Je viens encore de vendre une étude pour l'équivalent de 3 smic alors que ça m'a pris moins de 4 heures pour la préparer avec ChatGPT et Genially, on vit une époque formidable les amis",525,54
2023-04-16,𝑮𝒂𝒖𝒕𝒊𝒆𝒓,@Boris_Gauty,"Cessez de remettre les choses à plus tard !

ChatGPT est gratuit
Google est gratuit
YouTube est gratuit
Twitter est gratuit
De nombreux outils d'IA sont gratuits

Apprendre ➝ Construire ➝ Vendre ➝ Gagner

Ouvrez votre ordinateur portable et faites de la magie.",266,77
1970-01-01,SAPIENisme,@NA,"Le talent, c’est d’avoir envie. chat GPT nous enlève l’envie et le travail.

Alors ne perdons pas nos talents.

Réfléchissez par vous-même et devenez talentueux.",889,109
2023-04-28,Le PSG m'a assassinée,@UmmuLayan,"Qu'Allah bénisse l'inventeur de Chat GPT, c'est une grande aide dans cette période",70,14
2023-04-23,Frenchstartupper,@HuguesTrjs,"Dans le monde des IA, ChatGPT n'es qu'une goutte dans la mer.

Chaque semaine il y a des milliers de nouvelles IA qui se rajoutent ...

Voici 5 IA que tu as à rater et qui peuvent t'aider dans tes business ",340,70
2023-04-04,arthur,@ArthuurSEO,"Créer un site de dropshipping SEO qui rapporte 1 200€/Mois

 Nom de domaine : Infomaniak 10€/an
 CMS : Shopify 1€/mois
 Outils SEO : 15€/Mois
 Rédaction : ChatGPT 0€
 Netlinking : Ninja + Prospection 0€

Tu attends quoi ?",259,36
2023-04-28,´,@blum4rinegirl44,Inchallah la personne qui a crée chatgpt se convertie à l’islam elle mérite le paradis,240,42
2023-04-21,alposh,@OsmanKtr_,"Qu’elle est la mentalité des turcs ? 

Réponse de chat GPT

Les Turcs sont souvent connus pour leur hospitalité, leur amour de la nourriture et leur fierté nationale. La famille et les relations personnelles sont également très importantes dans la culture turque, tout comme …",93,9
2023-04-12,INFOMONEY™,@infomoneypro,"ChatGPT n'est que la partie émergée de l'iceberg.

Plus de 1 000 outils d'IA ont été publiés en mars.

Voici les 10 outils d'IA les plus utiles pour pour booster votre productivité :",701,108
2023-04-13,Frenchstartupper,@HuguesTrjs,"Tu n'as pas besoin de 1000 euros pour lancer un business en ligne

Le plus important c'est d'exécuter avec envie et de progresser 

Voici 6 outils que tu peux utiliser en tant qu'entrepreneur 

Skillshare - pour apprendre
ChatGPT - pour rechercher
Gdocs / Notion - pour…",171,32
2023-04-02,Kaeru CEO of Meme,@MemeCryptoFR,"Les taxis détestent Uber.

Les hôtels détestent Airbnb.

Les universités détestent Chatgpt.

Les artistes détestent Dall-E et Midjourney.

Les banques détestent la #crypto.

Quoi d'autres ?",373,56
2023-04-16,Pablo Martinez,@JdePabMartinez,"Avec ChatGPT, je peux déjà couper 2-3 employés.

Vous êtes aveugles si vous ne voyez pas ce qui s'en viens.",144,12
2023-04-28,Tata Shishi,@ShirleyAlmCh,"J'étais en entretien visio et je vois dans les lunettes du candidat qu'il est sur ChatGPT pour répondre à mes questions. 
Je lui ai dit à la fin : ""bon et bien merci chatGPT pour cet échange !"" ",630,51
1970-01-01,Leo Grundström,@howtoaiyt,"People ask me how I'm always up-to-date with the latest AI news.

The answer is simple, I just read AI Explained 5 minutes per week, that's all.",189,17
2023-04-10,𝙂𝙤𝙩𝙤,@sltcgoto,"ChatGPT et Midjourney ont changés la manière de travailler à tout jamais. 

Mais il existe un grand nombre d'autres outils tout aussi incroyable.

Voici 6 outils qui vous faciliteront la vie :

()",459,62
2023-04-24,Lᴀᴋᴇɪsʜᴀ ｼ,@Waydaksh,Je remercierais jamais assez la personne qui a crée chatgpt laye,62,10
2023-04-06,Rollin L.,@rollinlowolong,"ChatGPT est sorti hier , toi tu donnes déjà les formations pour savoir comment gagner de l’argent avec l’IA. 
Tu as fini de gagner pour toi ? ",56,18
2023-04-18,Ulysse Rives,@Ulysse_Rives,"Sophie Binet qui tacle Macron en disant que ChatGPT aurait pu écrire son allocution... C'est tellement vrai, parce que c'est vide et ça manque de cœur.

Il n'y a pas l'ombre d'une âme humaine dans les discours du président.",186,39
1970-01-01,AIDA,@docAcademy," We come bearing #news!
We've created a new webpage with you in mind, where you can find all the #resources you might need, like scientific papers, documents, videos & presentations. 
Oh, we almost forgot, these resources will be integrated into 
@AIonDemand
! 
Take a look ",194,4
2023-04-05,Doha26__,@Pavel_FFP,"Donc il y’a une entreprise ( OpenAI Mali ) du style LiyepLimal qui a arnaqué autour de 50 milliards aux gens au Mali ??? 

Tout ceci en utilisant le Label de OpenAI la boîte américaine derriere ChatGPT 

MERDE !!!! 

C’est en Hébreux qu’on doit vous parler pour que vous…",117,71
2023-04-13,Jacquhenry,@HVaucher,"Chère amie, Cher ami,

La révolution Chat GPT-4 se déroule sous les yeux d'une classe politique indifférente.

Cependant, les avancées fulgurantes de l'intelligence artificielle vont bouleverser la France en profondeur. 
 
Marion Maréchal
Vice-présidente de Reconquête",56,30
1970-01-01,Mediavenir,@NA," FLASH - Les gains de productivité apportés par #ChatGPT pourraient permettre aux salariés de ne travailler que 4 jours par semaine, affirme le prix Nobel d’économie Chris Pissarides. (Bloomberg)",8400,1000
1970-01-01,Mediavenir,@NA," FLASH - ""Sur quelle planète vit Emmanuel Macron ? Cette allocution aurait pu être faite par #ChatGPT !"", estime la secrétaire générale de la CGT Sophie Binet. (LCI) #allocutionpresidentielle",7400,865
1970-01-01,asyncr0ne,@NA,"Copier un contenu anglais sans duplicata ni détection IA 

1 - Copier contenu anglais
2 - ChatGPT : ""Rewrite this content with Neil Patel writing style.""
3 - Paraphraser l'article sur Quillbot
4 - DeepL anglais > français
5 - Publier sur ton site

Temps estimé : 5 min",413,52
2023-04-06,Olivier Babeau,@OlivierBabeau,Interdire ChatGPT = ligne Maginot 2.0.,229,44
2023-04-26,Moha,@LeMTempete,De toute ma vie j’ai vraiment jamais eu un ami comme chatGPT le partiel que j’ai eu je viens d’envoyer une double copie double je crois c’est jamais arrivé depuis que je suis a l’école,213,36
2023-04-04,Mel Goyer,@GoyerMel,".
Je n'ai pas de TV. Jamais eu le câble non plus.
Je n'ai pas de téléphone intelligent.
Je n'ai jamais utilisé chat GPT.
J'évite les filtres qui servent la reconnaissance faciale.
Je refuse l'identité numérique de mon mieux.


Il me reste internet et les réseaux sociaux.
Toi?
.",421,40
